Product Group ID,Product Group Name,Description,Category,Target Market,Average Price Range,Key Features,Launch Date,Discontinuation Date,Market Share
249,Audio Equipment,Smartphones and tablets,Home Goods,Audiophiles,50$ - 200$,Smart Connectivity,3/13/2023,N/A,20%
250,Mobile Devices,Speakers and soundbars,Electronics,Families,100$ - 300$,Touchscreen,3/22/2023,N/A,15%
251,Audio Equipment,Speakers and soundbars,Electronics,General Public,70$ - 310$,Durable,1/27/2023,N/A,10%
252,Audio Equipment,Laptops and desktops,Electronics,Professionals,350$ - 500$,Camera,3/30/2023,N/A,25%
253,Accessories,Laptops and desktops,Electronics,General Public,50$ - 200$,High Performance,6/17/2022,N/A,20%
254,Mobile Devices,Headphones and wearables,Electronics,Audiophiles,50$ - 200$,Durable,1/9/2023,N/A,10%
255,Mobile Devices,Smart home devices,Home Goods,Families,70$ - 310$,Durable,9/24/2022,N/A,30%
256,Computing,Smart home devices,Home Goods,General Public,30$ - 99$,High Performance,2/16/2023,N/A,10%
257,Home Appliances,Smart home devices,Electronics,General Public,350$ - 500$,Smart Connectivity,8/17/2022,N/A,30%
258,Mobile Devices,Headphones and wearables,Home Goods,Families,70$ - 310$,Wireless,5/22/2023,N/A,50%
259,Accessories,Smart home devices,Electronics,Professionals,30$ - 99$,Camera,7/11/2022,N/A,50%
260,Audio Equipment,Smartphones and tablets,Home Goods,Youth,100$ - 300$,High Performance,4/19/2023,N/A,35%
261,Mobile Devices,Smart home devices,Electronics,General Public,350$ - 500$,Smart Connectivity,6/24/2022,N/A,40%
262,Mobile Devices,Speakers and soundbars,Home Goods,Professionals,350$ - 500$,Touchscreen,7/1/2022,N/A,5%
263,Mobile Devices,Laptops and desktops,Electronics,Professionals,70$ - 310$,Wireless,5/3/2023,N/A,50%
264,Audio Equipment,Speakers and soundbars,Electronics,General Public,50$ - 200$,High Fidelity Audio,3/14/2023,N/A,40%
265,Computing,Smartphones and tablets,Electronics,Audiophiles,100$ - 300$,Camera,5/25/2023,N/A,15%
266,Accessories,Laptops and desktops,Electronics,General Public,50$ - 200$,Smart Connectivity,4/2/2023,N/A,40%
267,Mobile Devices,Smartphones and tablets,Home Goods,Professionals,350$ - 500$,High Fidelity Audio,6/23/2022,N/A,35%
268,Home Appliances,Smart home devices,Home Goods,Professionals,350$ - 500$,Durable,7/27/2022,N/A,20%
269,Accessories,Laptops and desktops,Home Goods,Families,30$ - 99$,Camera,4/22/2023,N/A,40%
270,Computing,Speakers and soundbars,Home Goods,General Public,50$ - 200$,High Performance,1/13/2023,N/A,5%
271,Home Appliances,Headphones and wearables,Home Goods,Families,200$ - 500$,Smart Connectivity,5/21/2023,N/A,50%
272,Accessories,Laptops and desktops,Home Goods,Families,30$ - 99$,Camera,5/7/2023,N/A,35%
273,Home Appliances,Headphones and wearables,Home Goods,Audiophiles,100$ - 300$,Durable,11/20/2022,N/A,50%
274,Computing,Smartphones and tablets,Home Goods,Youth,30$ - 99$,Durable,1/2/2023,N/A,20%
275,Accessories,Smartphones and tablets,Home Goods,Audiophiles,70$ - 310$,Camera,1/4/2023,N/A,50%
276,Accessories,Smart home devices,Electronics,Audiophiles,70$ - 310$,High Performance,7/30/2022,N/A,15%
277,Audio Equipment,Speakers and soundbars,Home Goods,General Public,70$ - 310$,High Performance,5/11/2023,N/A,20%
278,Home Appliances,Speakers and soundbars,Electronics,Families,30$ - 99$,Camera,12/15/2022,N/A,25%
279,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,70$ - 310$,Camera,10/24/2022,N/A,25%
280,Mobile Devices,Laptops and desktops,Home Goods,General Public,50$ - 200$,Wireless,7/26/2022,N/A,20%
281,Audio Equipment,Smartphones and tablets,Electronics,General Public,50$ - 200$,Camera,3/21/2023,N/A,35%
282,Accessories,Smart home devices,Electronics,Families,70$ - 310$,Wireless,9/28/2022,N/A,10%
283,Audio Equipment,Headphones and wearables,Home Goods,Audiophiles,100$ - 300$,High Performance,2/11/2023,N/A,50%
284,Accessories,Speakers and soundbars,Electronics,Youth,100$ - 300$,Durable,10/12/2022,N/A,10%
285,Accessories,Smartphones and tablets,Electronics,Professionals,30$ - 99$,High Performance,1/26/2023,N/A,20%
286,Mobile Devices,Speakers and soundbars,Electronics,Professionals,50$ - 200$,High Fidelity Audio,1/7/2023,N/A,50%
287,Audio Equipment,Smart home devices,Home Goods,Youth,200$ - 500$,Smart Connectivity,1/16/2023,N/A,30%
288,Mobile Devices,Headphones and wearables,Electronics,Families,100$ - 300$,Camera,2/6/2023,N/A,50%
289,Audio Equipment,Smart home devices,Home Goods,General Public,200$ - 500$,High Performance,10/13/2022,N/A,40%
290,Mobile Devices,Headphones and wearables,Electronics,Families,200$ - 500$,Camera,2/8/2023,N/A,10%
291,Accessories,Smart home devices,Home Goods,Families,100$ - 300$,High Performance,10/30/2022,N/A,15%
292,Audio Equipment,Headphones and wearables,Home Goods,Professionals,350$ - 500$,Touchscreen,11/18/2022,N/A,15%
293,Home Appliances,Speakers and soundbars,Electronics,Families,70$ - 310$,Wireless,12/2/2022,N/A,30%
294,Accessories,Laptops and desktops,Home Goods,Families,70$ - 310$,High Fidelity Audio,11/26/2022,N/A,35%
295,Computing,Laptops and desktops,Electronics,Professionals,30$ - 99$,Camera,9/24/2022,N/A,10%
296,Mobile Devices,Headphones and wearables,Home Goods,Professionals,100$ - 300$,Durable,12/11/2022,N/A,15%
297,Accessories,Smartphones and tablets,Home Goods,Professionals,30$ - 99$,Camera,1/8/2023,N/A,35%
298,Computing,Speakers and soundbars,Electronics,Youth,100$ - 300$,Camera,4/21/2023,N/A,30%
299,Computing,Smartphones and tablets,Electronics,General Public,350$ - 500$,Touchscreen,4/19/2023,N/A,20%
300,Accessories,Smartphones and tablets,Electronics,Audiophiles,200$ - 500$,Durable,1/6/2023,N/A,20%
301,Audio Equipment,Smart home devices,Electronics,Families,70$ - 310$,Touchscreen,7/6/2022,N/A,20%
302,Computing,Laptops and desktops,Home Goods,Audiophiles,50$ - 200$,High Performance,5/12/2023,N/A,40%
303,Audio Equipment,Speakers and soundbars,Electronics,Audiophiles,350$ - 500$,High Fidelity Audio,9/14/2022,N/A,35%
304,Computing,Speakers and soundbars,Electronics,Youth,50$ - 200$,Durable,7/20/2022,N/A,20%
305,Mobile Devices,Speakers and soundbars,Home Goods,General Public,350$ - 500$,Camera,12/10/2022,N/A,20%
306,Audio Equipment,Speakers and soundbars,Electronics,General Public,50$ - 200$,Durable,7/12/2022,N/A,40%
307,Mobile Devices,Speakers and soundbars,Home Goods,General Public,70$ - 310$,Smart Connectivity,5/3/2023,N/A,40%
308,Computing,Smart home devices,Home Goods,Professionals,50$ - 200$,Smart Connectivity,2/24/2023,N/A,25%
309,Accessories,Laptops and desktops,Home Goods,Professionals,70$ - 310$,Smart Connectivity,11/19/2022,N/A,30%
310,Computing,Smartphones and tablets,Electronics,Families,50$ - 200$,Wireless,5/18/2023,N/A,35%
311,Computing,Smartphones and tablets,Electronics,Youth,30$ - 99$,Camera,4/8/2023,N/A,15%
312,Accessories,Speakers and soundbars,Electronics,Youth,70$ - 310$,Camera,5/27/2023,N/A,50%
313,Audio Equipment,Headphones and wearables,Electronics,Families,50$ - 200$,Touchscreen,3/20/2023,N/A,5%
314,Computing,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,Camera,4/16/2023,N/A,15%
315,Audio Equipment,Smart home devices,Home Goods,Youth,100$ - 300$,Camera,9/15/2022,N/A,5%
316,Home Appliances,Smartphones and tablets,Electronics,Families,30$ - 99$,Smart Connectivity,3/9/2023,N/A,40%
317,Computing,Headphones and wearables,Electronics,General Public,350$ - 500$,High Performance,3/18/2023,N/A,35%
318,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,350$ - 500$,Smart Connectivity,3/3/2023,N/A,30%
319,Mobile Devices,Speakers and soundbars,Electronics,Professionals,30$ - 99$,Touchscreen,12/27/2022,N/A,10%
320,Home Appliances,Laptops and desktops,Electronics,Youth,50$ - 200$,High Fidelity Audio,10/29/2022,N/A,50%
321,Accessories,Smartphones and tablets,Electronics,General Public,200$ - 500$,Camera,3/28/2023,N/A,35%
322,Computing,Speakers and soundbars,Home Goods,Professionals,70$ - 310$,Durable,11/21/2022,N/A,15%
323,Accessories,Laptops and desktops,Home Goods,Audiophiles,200$ - 500$,High Fidelity Audio,4/11/2023,N/A,25%
324,Home Appliances,Headphones and wearables,Home Goods,Families,350$ - 500$,Wireless,6/23/2022,N/A,40%
325,Audio Equipment,Headphones and wearables,Home Goods,General Public,50$ - 200$,Camera,8/19/2022,N/A,20%
326,Accessories,Smartphones and tablets,Electronics,General Public,100$ - 300$,High Fidelity Audio,6/20/2022,N/A,35%
327,Accessories,Headphones and wearables,Home Goods,Audiophiles,100$ - 300$,Wireless,10/30/2022,N/A,40%
328,Audio Equipment,Speakers and soundbars,Electronics,Youth,200$ - 500$,Durable,6/4/2023,N/A,10%
329,Home Appliances,Speakers and soundbars,Electronics,General Public,70$ - 310$,Touchscreen,11/3/2022,N/A,5%
330,Computing,Laptops and desktops,Home Goods,Audiophiles,350$ - 500$,Touchscreen,5/17/2023,N/A,35%
331,Audio Equipment,Smart home devices,Home Goods,Professionals,30$ - 99$,High Performance,4/11/2023,N/A,30%
332,Mobile Devices,Speakers and soundbars,Electronics,Youth,70$ - 310$,Durable,6/3/2023,N/A,25%
333,Audio Equipment,Laptops and desktops,Electronics,General Public,200$ - 500$,Durable,7/17/2022,N/A,15%
334,Home Appliances,Smart home devices,Electronics,Professionals,200$ - 500$,Touchscreen,6/21/2022,N/A,20%
335,Accessories,Headphones and wearables,Electronics,General Public,100$ - 300$,Touchscreen,1/14/2023,N/A,15%
336,Audio Equipment,Smart home devices,Home Goods,General Public,200$ - 500$,High Performance,11/19/2022,N/A,15%
337,Accessories,Smartphones and tablets,Home Goods,Youth,70$ - 310$,Camera,2/2/2023,N/A,10%
338,Accessories,Speakers and soundbars,Electronics,Professionals,70$ - 310$,Camera,7/27/2022,N/A,10%
339,Audio Equipment,Headphones and wearables,Home Goods,Professionals,70$ - 310$,Durable,12/12/2022,N/A,25%
340,Mobile Devices,Speakers and soundbars,Home Goods,Professionals,30$ - 99$,High Performance,9/25/2022,N/A,50%
341,Home Appliances,Speakers and soundbars,Electronics,Youth,30$ - 99$,Camera,6/11/2023,N/A,50%
342,Computing,Laptops and desktops,Home Goods,General Public,200$ - 500$,Wireless,7/26/2022,N/A,20%
343,Mobile Devices,Headphones and wearables,Home Goods,Audiophiles,200$ - 500$,Touchscreen,11/10/2022,N/A,40%
344,Home Appliances,Smart home devices,Home Goods,Professionals,350$ - 500$,Durable,6/15/2022,N/A,5%
345,Home Appliances,Headphones and wearables,Home Goods,Families,30$ - 99$,High Fidelity Audio,5/3/2023,N/A,35%
346,Mobile Devices,Smart home devices,Home Goods,General Public,100$ - 300$,Camera,2/9/2023,N/A,5%
347,Computing,Headphones and wearables,Electronics,Youth,30$ - 99$,Smart Connectivity,12/11/2022,N/A,5%
348,Computing,Smartphones and tablets,Home Goods,Professionals,50$ - 200$,High Performance,7/29/2022,N/A,40%
349,Home Appliances,Speakers and soundbars,Electronics,Audiophiles,200$ - 500$,Wireless,8/26/2022,N/A,40%
350,Home Appliances,Smartphones and tablets,Electronics,Professionals,30$ - 99$,High Performance,11/15/2022,N/A,25%
351,Accessories,Smartphones and tablets,Electronics,Professionals,350$ - 500$,Touchscreen,8/25/2022,N/A,10%
352,Mobile Devices,Speakers and soundbars,Home Goods,Professionals,100$ - 300$,Touchscreen,11/3/2022,N/A,50%
353,Mobile Devices,Laptops and desktops,Electronics,Professionals,200$ - 500$,Touchscreen,12/7/2022,N/A,35%
354,Audio Equipment,Smartphones and tablets,Home Goods,Professionals,30$ - 99$,High Fidelity Audio,10/17/2022,N/A,10%
355,Mobile Devices,Laptops and desktops,Electronics,Professionals,200$ - 500$,Smart Connectivity,8/28/2022,N/A,20%
356,Computing,Speakers and soundbars,Electronics,Audiophiles,30$ - 99$,Camera,12/9/2022,N/A,40%
357,Computing,Smartphones and tablets,Electronics,Audiophiles,50$ - 200$,Touchscreen,5/21/2023,N/A,5%
358,Computing,Laptops and desktops,Home Goods,General Public,70$ - 310$,Touchscreen,2/6/2023,N/A,30%
359,Accessories,Headphones and wearables,Electronics,Youth,30$ - 99$,Wireless,1/30/2023,N/A,20%
360,Home Appliances,Speakers and soundbars,Home Goods,Professionals,70$ - 310$,Smart Connectivity,8/30/2022,N/A,15%
361,Audio Equipment,Headphones and wearables,Home Goods,Audiophiles,50$ - 200$,Camera,5/9/2023,N/A,35%
362,Audio Equipment,Headphones and wearables,Electronics,Professionals,70$ - 310$,High Fidelity Audio,8/15/2022,N/A,40%
363,Computing,Speakers and soundbars,Home Goods,General Public,30$ - 99$,Smart Connectivity,2/19/2023,N/A,5%
364,Accessories,Speakers and soundbars,Home Goods,General Public,50$ - 200$,High Fidelity Audio,9/15/2022,N/A,50%
365,Home Appliances,Headphones and wearables,Home Goods,Families,200$ - 500$,Smart Connectivity,5/17/2023,N/A,10%
366,Accessories,Laptops and desktops,Electronics,Youth,50$ - 200$,High Fidelity Audio,2/5/2023,N/A,15%
367,Computing,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,Camera,9/27/2022,N/A,15%
368,Mobile Devices,Smart home devices,Electronics,Professionals,50$ - 200$,Camera,9/29/2022,N/A,20%
369,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,50$ - 200$,Durable,8/26/2022,N/A,20%
370,Accessories,Headphones and wearables,Home Goods,Families,200$ - 500$,Wireless,8/6/2022,N/A,20%
371,Home Appliances,Speakers and soundbars,Electronics,Professionals,200$ - 500$,Wireless,10/1/2022,N/A,30%
372,Home Appliances,Laptops and desktops,Electronics,Youth,50$ - 200$,High Performance,4/30/2023,N/A,20%
373,Audio Equipment,Smart home devices,Electronics,Professionals,50$ - 200$,Camera,4/2/2023,N/A,5%
374,Mobile Devices,Smart home devices,Home Goods,Families,350$ - 500$,High Fidelity Audio,11/1/2022,N/A,50%
375,Mobile Devices,Headphones and wearables,Electronics,Youth,70$ - 310$,High Performance,5/21/2023,N/A,50%
376,Computing,Laptops and desktops,Home Goods,Families,30$ - 99$,High Fidelity Audio,9/30/2022,N/A,35%
377,Audio Equipment,Speakers and soundbars,Home Goods,Families,100$ - 300$,Camera,4/15/2023,N/A,25%
378,Home Appliances,Laptops and desktops,Home Goods,Youth,100$ - 300$,Wireless,10/11/2022,N/A,25%
379,Mobile Devices,Smartphones and tablets,Home Goods,Audiophiles,50$ - 200$,Wireless,5/23/2023,N/A,50%
380,Home Appliances,Headphones and wearables,Electronics,Professionals,50$ - 200$,High Fidelity Audio,4/22/2023,N/A,40%
381,Computing,Laptops and desktops,Home Goods,Families,100$ - 300$,Durable,12/27/2022,N/A,5%
382,Computing,Laptops and desktops,Home Goods,Professionals,100$ - 300$,Touchscreen,6/30/2022,N/A,30%
383,Computing,Speakers and soundbars,Electronics,Professionals,30$ - 99$,Camera,11/27/2022,N/A,25%
384,Home Appliances,Headphones and wearables,Electronics,General Public,70$ - 310$,Camera,5/28/2023,N/A,15%
385,Accessories,Speakers and soundbars,Home Goods,Families,30$ - 99$,Smart Connectivity,11/6/2022,N/A,40%
386,Mobile Devices,Smartphones and tablets,Home Goods,Audiophiles,350$ - 500$,Wireless,4/30/2023,N/A,10%
387,Computing,Speakers and soundbars,Home Goods,Professionals,30$ - 99$,Durable,10/12/2022,N/A,40%
388,Audio Equipment,Smart home devices,Home Goods,Professionals,70$ - 310$,Durable,8/25/2022,N/A,40%
389,Computing,Smart home devices,Home Goods,Audiophiles,350$ - 500$,Durable,4/6/2023,N/A,20%
390,Computing,Smart home devices,Home Goods,Audiophiles,30$ - 99$,Camera,9/21/2022,N/A,20%
391,Mobile Devices,Headphones and wearables,Electronics,Audiophiles,30$ - 99$,Touchscreen,3/21/2023,N/A,10%
392,Mobile Devices,Headphones and wearables,Home Goods,Youth,350$ - 500$,Wireless,3/9/2023,N/A,25%
393,Home Appliances,Smart home devices,Home Goods,Professionals,200$ - 500$,Wireless,9/30/2022,N/A,40%
394,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,50$ - 200$,Wireless,12/2/2022,N/A,25%
395,Accessories,Headphones and wearables,Home Goods,Families,30$ - 99$,Smart Connectivity,4/18/2023,N/A,20%
396,Accessories,Headphones and wearables,Electronics,General Public,30$ - 99$,Wireless,10/6/2022,N/A,50%
397,Accessories,Headphones and wearables,Electronics,General Public,200$ - 500$,High Performance,4/15/2023,N/A,20%
398,Mobile Devices,Headphones and wearables,Home Goods,General Public,30$ - 99$,Durable,3/3/2023,N/A,5%
399,Accessories,Smartphones and tablets,Electronics,Professionals,200$ - 500$,Wireless,12/14/2022,N/A,40%
400,Audio Equipment,Headphones and wearables,Electronics,Professionals,50$ - 200$,Smart Connectivity,2/25/2023,N/A,50%
401,Audio Equipment,Smart home devices,Electronics,Professionals,70$ - 310$,Wireless,12/11/2022,N/A,20%
402,Audio Equipment,Smart home devices,Home Goods,Professionals,70$ - 310$,High Performance,7/14/2022,N/A,30%
403,Mobile Devices,Speakers and soundbars,Electronics,Audiophiles,100$ - 300$,High Fidelity Audio,4/25/2023,N/A,25%
404,Home Appliances,Laptops and desktops,Electronics,Youth,200$ - 500$,Camera,10/31/2022,N/A,25%
405,Home Appliances,Smart home devices,Electronics,Youth,30$ - 99$,Camera,4/7/2023,N/A,10%
406,Computing,Smart home devices,Home Goods,General Public,100$ - 300$,High Performance,7/18/2022,N/A,30%
407,Home Appliances,Speakers and soundbars,Electronics,Professionals,30$ - 99$,High Performance,8/31/2022,N/A,25%
408,Computing,Smartphones and tablets,Home Goods,Families,350$ - 500$,Smart Connectivity,7/2/2022,N/A,15%
409,Mobile Devices,Headphones and wearables,Home Goods,Youth,50$ - 200$,Touchscreen,3/7/2023,N/A,5%
410,Audio Equipment,Headphones and wearables,Home Goods,Youth,30$ - 99$,Smart Connectivity,7/26/2022,N/A,40%
411,Computing,Smart home devices,Home Goods,General Public,100$ - 300$,Durable,12/31/2022,N/A,15%
412,Audio Equipment,Laptops and desktops,Home Goods,General Public,200$ - 500$,Durable,12/26/2022,N/A,30%
413,Computing,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,Touchscreen,5/27/2023,N/A,5%
414,Accessories,Smart home devices,Electronics,Families,50$ - 200$,High Performance,5/31/2023,N/A,20%
415,Accessories,Smart home devices,Electronics,Professionals,350$ - 500$,Camera,2/5/2023,N/A,25%
416,Home Appliances,Smartphones and tablets,Electronics,Audiophiles,50$ - 200$,Camera,9/22/2022,N/A,25%
417,Audio Equipment,Laptops and desktops,Electronics,Professionals,100$ - 300$,Smart Connectivity,3/28/2023,N/A,25%
418,Computing,Speakers and soundbars,Electronics,Professionals,30$ - 99$,Touchscreen,1/31/2023,N/A,15%
419,Home Appliances,Headphones and wearables,Electronics,Professionals,200$ - 500$,High Fidelity Audio,5/21/2023,N/A,25%
420,Accessories,Speakers and soundbars,Home Goods,Audiophiles,30$ - 99$,High Performance,6/19/2022,N/A,25%
421,Mobile Devices,Smart home devices,Electronics,Professionals,350$ - 500$,Camera,2/12/2023,N/A,50%
422,Audio Equipment,Smart home devices,Electronics,Audiophiles,200$ - 500$,High Performance,4/4/2023,N/A,25%
423,Home Appliances,Speakers and soundbars,Home Goods,Professionals,200$ - 500$,Camera,10/24/2022,N/A,20%
424,Mobile Devices,Speakers and soundbars,Home Goods,Audiophiles,70$ - 310$,Durable,1/29/2023,N/A,25%
425,Computing,Headphones and wearables,Home Goods,Youth,50$ - 200$,Touchscreen,10/16/2022,N/A,25%
426,Mobile Devices,Speakers and soundbars,Electronics,Professionals,100$ - 300$,Durable,1/2/2023,N/A,40%
427,Computing,Headphones and wearables,Electronics,Audiophiles,100$ - 300$,Camera,6/25/2022,N/A,30%
428,Home Appliances,Smart home devices,Home Goods,General Public,50$ - 200$,Touchscreen,2/21/2023,N/A,30%
429,Accessories,Speakers and soundbars,Home Goods,Professionals,200$ - 500$,Touchscreen,9/10/2022,N/A,50%
430,Home Appliances,Smartphones and tablets,Home Goods,Professionals,200$ - 500$,High Performance,10/1/2022,N/A,30%
431,Computing,Laptops and desktops,Home Goods,Audiophiles,100$ - 300$,Wireless,2/17/2023,N/A,15%
432,Mobile Devices,Speakers and soundbars,Home Goods,Audiophiles,50$ - 200$,High Performance,6/20/2022,N/A,25%
433,Mobile Devices,Smart home devices,Electronics,Youth,30$ - 99$,Touchscreen,1/6/2023,N/A,30%
434,Audio Equipment,Smart home devices,Home Goods,Families,50$ - 200$,Touchscreen,1/4/2023,N/A,25%
435,Home Appliances,Laptops and desktops,Home Goods,Families,50$ - 200$,Smart Connectivity,10/24/2022,N/A,15%
436,Accessories,Headphones and wearables,Electronics,Professionals,200$ - 500$,Touchscreen,9/1/2022,N/A,40%
437,Mobile Devices,Speakers and soundbars,Home Goods,Audiophiles,30$ - 99$,Touchscreen,4/13/2023,N/A,15%
438,Audio Equipment,Speakers and soundbars,Home Goods,Families,30$ - 99$,Camera,9/16/2022,N/A,25%
439,Accessories,Smartphones and tablets,Electronics,Youth,200$ - 500$,Camera,4/24/2023,N/A,20%
440,Accessories,Laptops and desktops,Home Goods,Youth,50$ - 200$,Durable,9/22/2022,N/A,5%
441,Accessories,Headphones and wearables,Electronics,Youth,350$ - 500$,Durable,2/3/2023,N/A,20%
442,Computing,Headphones and wearables,Home Goods,Families,50$ - 200$,Wireless,7/26/2022,N/A,30%
443,Home Appliances,Headphones and wearables,Electronics,Youth,350$ - 500$,Wireless,4/2/2023,N/A,50%
444,Accessories,Laptops and desktops,Home Goods,Audiophiles,70$ - 310$,Touchscreen,3/6/2023,N/A,30%
445,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,50$ - 200$,Camera,11/30/2022,N/A,25%
446,Mobile Devices,Headphones and wearables,Home Goods,Audiophiles,70$ - 310$,Camera,4/15/2023,N/A,25%
447,Audio Equipment,Headphones and wearables,Home Goods,Youth,30$ - 99$,Touchscreen,7/17/2022,N/A,15%
448,Accessories,Smart home devices,Home Goods,Families,350$ - 500$,Wireless,4/7/2023,N/A,40%
449,Computing,Laptops and desktops,Electronics,General Public,100$ - 300$,Smart Connectivity,7/25/2022,N/A,20%
450,Home Appliances,Headphones and wearables,Home Goods,Audiophiles,30$ - 99$,High Fidelity Audio,7/11/2022,N/A,20%
451,Computing,Speakers and soundbars,Home Goods,Audiophiles,30$ - 99$,Camera,3/12/2023,N/A,40%
452,Mobile Devices,Speakers and soundbars,Electronics,Professionals,70$ - 310$,Durable,6/6/2023,N/A,50%
453,Home Appliances,Smart home devices,Electronics,Audiophiles,70$ - 310$,Durable,9/1/2022,N/A,5%
454,Audio Equipment,Smartphones and tablets,Electronics,Audiophiles,70$ - 310$,High Performance,12/25/2022,N/A,25%
455,Home Appliances,Laptops and desktops,Home Goods,Audiophiles,350$ - 500$,Durable,5/8/2023,N/A,15%
456,Computing,Smart home devices,Electronics,Youth,200$ - 500$,Wireless,6/7/2023,N/A,25%
457,Mobile Devices,Smartphones and tablets,Electronics,Families,200$ - 500$,Touchscreen,10/23/2022,N/A,10%
458,Audio Equipment,Headphones and wearables,Electronics,Youth,200$ - 500$,Wireless,4/21/2023,N/A,25%
459,Computing,Smartphones and tablets,Home Goods,Professionals,50$ - 200$,Touchscreen,5/20/2023,N/A,35%
460,Mobile Devices,Headphones and wearables,Electronics,Audiophiles,30$ - 99$,Camera,4/16/2023,N/A,30%
461,Home Appliances,Laptops and desktops,Electronics,Families,100$ - 300$,Wireless,8/6/2022,N/A,35%
462,Mobile Devices,Smartphones and tablets,Electronics,Professionals,50$ - 200$,High Performance,6/13/2023,N/A,50%
463,Computing,Smartphones and tablets,Home Goods,Youth,100$ - 300$,Touchscreen,6/14/2023,N/A,30%
464,Accessories,Speakers and soundbars,Electronics,Families,30$ - 99$,Touchscreen,8/15/2022,N/A,15%
465,Computing,Smart home devices,Electronics,Youth,350$ - 500$,High Fidelity Audio,2/26/2023,N/A,25%
466,Accessories,Speakers and soundbars,Home Goods,Families,50$ - 200$,Wireless,10/10/2022,N/A,50%
467,Accessories,Smart home devices,Electronics,Families,100$ - 300$,High Fidelity Audio,8/4/2022,N/A,10%
468,Mobile Devices,Smart home devices,Home Goods,Families,30$ - 99$,Camera,1/19/2023,N/A,40%
469,Mobile Devices,Headphones and wearables,Home Goods,Families,200$ - 500$,High Fidelity Audio,4/30/2023,N/A,40%
470,Mobile Devices,Speakers and soundbars,Electronics,Families,100$ - 300$,Camera,5/1/2023,N/A,10%
471,Home Appliances,Headphones and wearables,Electronics,Youth,70$ - 310$,Durable,5/3/2023,N/A,30%
472,Computing,Headphones and wearables,Home Goods,Audiophiles,50$ - 200$,Durable,1/24/2023,N/A,20%
473,Home Appliances,Headphones and wearables,Home Goods,General Public,50$ - 200$,Wireless,7/19/2022,N/A,40%
474,Computing,Speakers and soundbars,Home Goods,Audiophiles,50$ - 200$,High Performance,5/16/2023,N/A,25%
475,Computing,Smart home devices,Home Goods,Families,30$ - 99$,Touchscreen,6/2/2023,N/A,50%
476,Audio Equipment,Speakers and soundbars,Electronics,General Public,70$ - 310$,Camera,1/1/2023,N/A,15%
477,Accessories,Smartphones and tablets,Electronics,Families,50$ - 200$,High Fidelity Audio,6/18/2022,N/A,20%
478,Accessories,Headphones and wearables,Electronics,Professionals,100$ - 300$,High Performance,9/1/2022,N/A,40%
479,Audio Equipment,Speakers and soundbars,Home Goods,Audiophiles,200$ - 500$,Smart Connectivity,7/2/2022,N/A,15%
480,Mobile Devices,Smart home devices,Home Goods,Youth,100$ - 300$,High Performance,8/21/2022,N/A,10%
481,Home Appliances,Smart home devices,Home Goods,Families,70$ - 310$,Durable,5/12/2023,N/A,40%
482,Audio Equipment,Laptops and desktops,Home Goods,Professionals,200$ - 500$,Durable,3/1/2023,N/A,50%
483,Computing,Headphones and wearables,Electronics,Families,70$ - 310$,Durable,10/19/2022,N/A,30%
484,Home Appliances,Speakers and soundbars,Electronics,Audiophiles,100$ - 300$,Durable,4/26/2023,N/A,10%
485,Mobile Devices,Speakers and soundbars,Home Goods,General Public,350$ - 500$,High Performance,11/23/2022,N/A,40%
486,Mobile Devices,Speakers and soundbars,Home Goods,Youth,350$ - 500$,High Performance,8/4/2022,N/A,50%
487,Audio Equipment,Headphones and wearables,Electronics,Professionals,100$ - 300$,Camera,9/18/2022,N/A,5%
488,Audio Equipment,Laptops and desktops,Home Goods,Youth,30$ - 99$,High Fidelity Audio,6/9/2023,N/A,35%
489,Mobile Devices,Smart home devices,Electronics,Professionals,200$ - 500$,Durable,10/9/2022,N/A,15%
490,Computing,Headphones and wearables,Home Goods,General Public,350$ - 500$,Touchscreen,6/19/2022,N/A,20%
491,Audio Equipment,Smart home devices,Home Goods,Professionals,30$ - 99$,Touchscreen,3/28/2023,N/A,5%
492,Home Appliances,Smartphones and tablets,Home Goods,Youth,70$ - 310$,Wireless,1/31/2023,N/A,30%
493,Accessories,Laptops and desktops,Home Goods,Families,350$ - 500$,Touchscreen,6/17/2022,N/A,50%
494,Mobile Devices,Laptops and desktops,Electronics,General Public,350$ - 500$,Wireless,12/24/2022,N/A,25%
495,Mobile Devices,Laptops and desktops,Electronics,Professionals,50$ - 200$,High Performance,4/20/2023,N/A,50%
496,Accessories,Laptops and desktops,Home Goods,General Public,350$ - 500$,Smart Connectivity,1/10/2023,N/A,5%
497,Home Appliances,Headphones and wearables,Electronics,General Public,100$ - 300$,Durable,11/9/2022,N/A,50%
498,Home Appliances,Smart home devices,Home Goods,Audiophiles,70$ - 310$,Smart Connectivity,9/3/2022,N/A,30%
499,Mobile Devices,Smart home devices,Electronics,Youth,70$ - 310$,Camera,4/4/2023,N/A,40%
